,id_compra,id_producto,cantidad
0,0,1,2
1,1,2,1
2,1,1,1
3,1,0,1
4,2,1,1
5,2,2,1
6,3,1,1
7,4,2,1
8,5,0,2
9,6,0,1
10,6,2,2
11,7,2,2
12,8,1,1
13,9,2,2
14,10,2,1
15,11,2,1
16,12,1,1
17,13,2,1
18,14,2,2
19,14,0,1
20,15,2,3
21,15,1,2
22,16,0,2
23,16,2,2
24,17,0,1
25,17,2,1
26,18,1,1
27,19,2,1
28,20,1,1
29,21,0,3
30,22,2,1
31,23,1,2
32,24,2,3
33,25,2,2
34,25,1,2
35,25,0,2
36,26,2,3
37,27,2,1
38,28,2,2
39,29,2,1
40,29,1,2
41,30,2,2
42,31,0,1
43,32,1,1
44,32,2,4
45,33,1,1
46,33,0,3
47,34,2,1
48,35,2,2
49,36,0,1
50,37,0,1
51,38,2,2
52,38,0,1
53,38,1,2
54,39,1,1
55,40,2,1
56,41,2,4
57,42,0,1
58,43,0,1
59,44,1,2
60,45,0,1
61,46,2,1
62,47,1,1
63,48,1,1
64,48,2,1
65,49,1,2
66,49,0,3
67,50,1,2
68,51,1,4
69,52,0,1
70,52,2,2
71,53,1,1
72,54,1,3
73,55,1,1
74,56,0,1
75,56,1,4
76,57,0,1
77,58,0,1
78,59,2,2
79,60,2,4
80,61,2,1
81,62,0,2
82,62,1,1
83,63,2,2
84,64,0,4
85,64,2,1
86,65,0,1
87,65,1,3
88,66,2,1
89,67,1,1
90,67,2,2
91,68,2,1
92,69,1,2
93,70,1,2
94,71,0,2
95,72,0,2
96,72,1,1
97,73,2,1
98,74,1,3
99,75,0,4
100,76,1,2
101,77,2,1
102,77,0,2
103,78,2,1
104,79,1,1
105,80,0,1
106,80,1,1
107,81,0,2
108,82,0,1
109,83,2,1
110,83,1,1
111,84,1,1
112,85,0,2
113,86,1,1
114,86,0,2
115,87,2,1
116,88,1,4
117,89,0,1
118,90,1,4
119,91,0,1
120,92,1,1
121,93,1,1
122,94,1,1
123,95,0,1
124,96,0,1
125,97,2,3
126,98,0,2
127,99,1,1
128,100,1,1
129,101,0,1
130,102,1,3
131,103,1,1
132,103,2,3
133,104,0,3
134,105,1,1
135,106,2,1
136,107,2,1
137,107,1,2
138,108,2,2
139,109,1,2
140,110,1,2
141,110,2,1
142,111,2,1
143,111,0,1
144,112,1,2
145,112,0,2
146,113,0,1
147,113,1,1
148,114,2,1
149,115,1,1
150,116,2,2
151,117,0,1
152,118,0,3
153,119,2,2
154,120,0,3
155,120,1,4
156,121,1,1
157,122,0,4
158,123,2,1
159,124,1,1
160,125,1,1
161,126,0,1
162,127,2,3
163,128,1,1
164,129,0,3
165,129,2,3
166,130,0,2
167,131,1,1
168,132,1,1
169,133,1,2
170,133,0,3
171,134,2,3
172,135,2,2
173,136,0,2
174,137,1,1
175,138,0,1
176,138,1,1
177,139,2,2
178,140,1,1
179,141,1,1
180,142,1,3
181,143,0,1
182,144,2,1
183,145,1,2
184,146,0,1
185,146,2,2
186,147,0,3
187,148,0,3
188,149,0,1
189,150,1,2
190,151,2,2
191,152,2,3
192,153,0,1
193,154,0,1
194,155,2,2
195,156,0,1
196,156,2,2
197,157,0,2
198,158,0,2
199,158,2,2
200,159,0,1
201,160,0,1
202,161,0,1
203,162,2,1
204,163,2,1
205,164,1,3
206,165,2,1
207,166,2,4
208,167,2,1
209,168,1,2
210,168,0,1
211,169,2,3
212,170,1,1
213,171,2,1
214,172,2,4
215,173,0,3
216,173,1,1
217,174,0,2
218,175,1,1
219,176,2,1
220,176,1,1
221,177,2,1
222,178,0,2
223,179,0,1
224,180,2,1
225,181,2,2
226,182,2,1
227,183,1,1
228,183,2,1
229,184,1,2
230,185,2,2
231,186,1,1
232,186,2,2
233,187,1,1
234,188,2,1
235,188,1,2
236,189,0,2
237,190,0,2
238,190,1,1
239,191,2,1
240,192,1,2
241,193,1,2
242,194,0,1
243,195,1,1
244,196,2,4
245,197,1,3
246,198,0,1
247,199,2,1
248,200,1,2
249,201,2,3
250,202,1,2
251,203,2,1
252,204,0,3
253,205,0,1
254,205,2,2
255,206,2,1
256,207,2,1
257,207,1,1
258,208,0,3
259,209,1,2
260,210,1,1
261,211,2,2
262,212,2,1
263,213,1,1
264,214,0,1
265,214,2,1
266,214,1,2
267,215,2,1
268,216,0,2
269,217,2,1
270,217,1,2
271,218,0,1
272,219,2,2
273,220,1,2
274,220,0,3
275,221,2,1
276,222,1,1
277,222,0,1
278,223,2,3
279,223,1,1
280,224,2,2
281,225,2,1
282,226,0,1
283,227,1,3
284,228,0,1
285,229,0,1
286,229,2,3
287,230,2,1
288,231,2,2
289,232,1,3
290,232,0,1
291,233,0,2
292,234,1,1
293,235,1,4
294,236,0,2
295,237,0,4
296,238,1,1
297,239,0,1
298,240,0,1
299,241,0,1
300,242,1,1
301,243,1,1
302,243,0,1
303,243,2,1
304,244,0,1
305,245,1,1
306,245,2,3
307,246,0,1
308,246,2,2
309,247,0,2
310,248,1,3
311,249,0,2
312,250,2,2
313,251,2,2
314,252,0,4
315,253,2,2
316,254,0,1
317,255,2,3
318,256,2,1
319,256,0,3
320,257,2,1
321,258,1,2
322,259,0,1
323,260,1,2
324,261,2,2
325,262,1,1
326,263,1,1
327,264,2,1
328,265,1,1
329,265,0,1
330,266,2,2
331,266,1,1
332,267,2,2
333,268,1,2
334,269,1,2
335,270,0,1
336,270,2,1
337,271,1,4
338,271,2,1
339,272,2,2
340,273,2,1
341,273,0,1
342,274,2,1
343,275,1,2
344,275,2,1
345,276,2,3
346,276,1,1
347,277,2,1
348,278,1,1
349,279,1,2
350,280,2,1
351,281,2,3
352,282,0,2
353,283,1,1
354,284,0,1
355,285,0,2
356,286,1,2
357,287,2,2
358,288,0,4
359,289,1,2
360,290,2,2
361,291,0,2
362,292,1,2
363,292,0,1
364,293,2,3
365,294,2,2
366,294,1,2
367,295,0,1
368,296,0,2
369,297,1,1
370,298,2,1
371,299,0,1
372,300,0,1
373,301,0,1
374,302,1,1
375,303,2,1
376,303,0,2
377,304,1,2
378,304,2,3
379,305,1,1
380,306,2,1
381,307,2,1
382,308,1,1
383,309,2,1
384,310,1,3
385,311,0,2
386,312,2,1
387,313,1,1
388,314,0,3
389,314,2,3
390,315,0,3
391,316,0,1
392,317,2,4
393,318,0,1
394,318,1,1
395,319,1,3
396,320,1,3
397,321,2,2
398,322,0,2
399,323,2,4
400,324,2,4
401,325,2,1
402,326,2,2
403,326,1,2
404,327,2,2
405,328,1,2
406,329,1,1
407,329,0,1
408,330,2,3
409,331,2,1
410,332,2,1
411,332,1,4
412,333,0,1
413,334,1,2
414,335,1,3
415,336,1,1
416,337,0,2
417,338,2,2
418,339,0,4
419,340,1,2
420,341,1,1
421,342,0,1
422,343,1,2
423,344,2,1
424,345,2,2
425,346,1,1
426,347,0,2
427,348,1,1
428,349,2,1
429,350,2,2
430,351,0,1
431,351,1,3
432,352,0,2
433,353,0,1
434,354,1,2
435,355,0,3
436,356,1,3
437,357,2,1
438,358,0,1
439,359,2,1
440,360,0,2
441,361,1,1
442,362,1,4
443,363,0,1
444,364,0,2
445,365,0,2
446,366,1,1
447,367,1,3
448,368,0,1
449,369,0,1
450,370,2,1
451,371,2,1
452,371,0,3
453,372,0,2
454,373,0,1
455,374,0,1
456,374,2,1
457,374,1,2
458,375,1,3
459,376,0,1
460,376,2,1
461,377,1,1
462,378,2,2
463,379,0,2
464,379,1,1
465,380,1,2
466,381,1,2
467,382,2,2
468,383,2,2
469,384,1,4
470,385,2,1
471,386,0,1
472,387,0,2
473,388,2,2
474,389,0,1
475,390,1,1
476,390,2,4
477,391,0,3
478,392,0,1
479,392,1,2
480,393,0,2
481,394,1,1
482,394,2,1
483,395,0,1
484,396,2,1
485,397,2,2
486,398,2,1
487,399,1,1
488,400,1,2
489,401,0,1
490,402,2,2
491,403,2,1
492,403,0,3
493,404,2,1
494,405,2,1
495,406,0,1
496,406,2,1
497,407,0,4
498,408,0,1
499,408,2,2
500,409,1,1
501,410,0,2
502,411,1,2
503,411,2,2
504,412,2,3
505,413,1,2
506,414,2,1
507,414,0,1
508,415,0,2
509,416,0,1
510,417,1,4
511,417,0,1
512,418,2,2
513,419,0,1
514,420,2,2
515,420,0,2
516,421,1,2
517,422,1,4
518,422,2,2
519,423,2,3
520,423,0,2
521,424,0,1
522,425,2,1
523,426,0,2
524,427,1,2
525,428,0,3
526,428,2,1
527,429,2,2
528,430,0,4
529,430,2,1
530,431,2,1
531,432,1,2
532,433,1,2
533,434,0,2
534,435,1,2
535,435,2,1
536,436,1,1
537,437,2,2
538,438,2,1
539,439,2,1
540,440,1,2
541,441,1,2
542,442,2,2
543,443,1,3
544,444,0,1
545,445,1,3
546,446,2,1
547,447,2,1
548,447,0,1
549,448,2,1
550,448,1,1
551,449,2,1
552,449,0,1
553,450,0,2
554,451,2,1
555,451,0,2
556,452,2,2
557,453,0,1
558,454,2,1
559,455,1,1
560,455,2,2
561,456,2,2
562,456,0,1
563,457,2,2
564,458,2,2
565,459,1,1
566,460,0,1
567,460,1,1
568,461,1,2
569,462,2,1
570,463,2,3
571,464,0,3
572,465,2,1
573,466,2,3
574,467,2,1
575,468,2,2
576,469,2,4
577,469,1,1
578,470,0,1
579,471,2,1
580,472,1,2
581,472,2,2
582,473,0,1
583,474,1,1
584,474,0,2
585,475,0,1
586,475,1,2
587,476,0,2
