,id_usuario,registro,pais,comprador
0,0,2021-09-01,Spain,0
1,1,2021-09-01,Portugal,1
2,2,2021-09-01,Spain,1
3,3,2021-09-02,Malta,0
4,4,2021-09-02,Italy,1
5,5,2021-09-02,United Kingdom,1
6,6,2021-09-03,Italy,0
7,7,2021-09-03,Portugal,1
8,8,2021-09-03,France,0
9,9,2021-09-03,United Kingdom,1
10,10,2021-09-03,Spain,1
11,11,2021-09-03,Malta,0
12,12,2021-09-03,United Kingdom,0
13,13,2021-09-03,Denmark,0
14,14,2021-09-03,Italy,0
15,15,2021-09-03,Spain,0
16,16,2021-09-03,Spain,0
17,17,2021-09-03,France,0
18,18,2021-09-04,Italy,0
19,19,2021-09-04,Spain,0
20,20,2021-09-04,France,0
21,21,2021-09-04,United Kingdom,1
22,22,2021-09-04,France,1
23,23,2021-09-04,Spain,0
24,24,2021-09-04,Italy,0
25,25,2021-09-04,Italy,0
26,26,2021-09-04,Spain,1
27,27,2021-09-04,Spain,1
28,28,2021-09-04,Italy,0
29,29,2021-09-04,Spain,1
30,30,2021-09-04,Austria,0
31,31,2021-09-04,Spain,0
32,32,2021-09-04,Portugal,0
33,33,2021-09-05,Spain,1
34,34,2021-09-05,Croatia,0
35,35,2021-09-05,Spain,0
36,36,2021-09-05,Italy,0
37,37,2021-09-05,Italy,1
38,38,2021-09-05,Portugal,0
39,39,2021-09-05,Spain,1
40,40,2021-09-05,France,0
41,41,2021-09-05,Portugal,1
42,42,2021-09-05,Italy,1
43,43,2021-09-05,Spain,1
44,44,2021-09-05,France,1
45,45,2021-09-05,France,0
46,46,2021-09-05,France,0
47,47,2021-09-06,France,1
48,48,2021-09-06,Spain,0
49,49,2021-09-06,Portugal,0
50,50,2021-09-06,Spain,0
51,51,2021-09-06,Spain,0
52,52,2021-09-06,France,0
53,53,2021-09-06,Spain,1
54,54,2021-09-06,Spain,1
55,55,2021-09-06,Malta,0
56,56,2021-09-06,Spain,1
57,57,2021-09-06,France,0
58,58,2021-09-06,Italy,0
59,59,2021-09-06,Slovenia,0
60,60,2021-09-06,Spain,1
61,61,2021-09-06,Italy,0
62,62,2021-09-06,Portugal,1
63,63,2021-09-06,Spain,1
64,64,2021-09-06,Finland,0
65,65,2021-09-06,Spain,0
66,66,2021-09-06,United Kingdom,1
67,67,2021-09-06,Spain,1
